designation,comapany,employeecount,followers,level,totalapplicants,location,industry
Data Analyst,Fresh Prints,201-500 employees,"57,158 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 1 week ago · Over 100 applicants,India,"Retail Apparel and Fashion 201-500 employees 1,049 on LinkedIn"
Python Data Analyst - Contract,YO HR Consultancy,11-50 employees,"137,055 followers",Remote,India · 1 month ago · Over 100 applicants,India,Business Consulting and Services 11-50 employees 20 on LinkedIn
Data Analyst / Data Administrator,Sheffield Haworth,201-500 employees,"68,309 followers","Full-time
Matches your job preferences, job type is Full-time.",India · Reposted 2 days ago · Over 100 applicants,India,Business Consulting and Services 201-500 employees 214 on LinkedIn
Data analyst_Dream hiring,CodersBrain,201-500 employees,"318,207 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 4 months ago · Over 100 applicants,India,IT Services and IT Consulting 201-500 employees 362 on LinkedIn
Python devops,,11-50 employees,"14,133 followers",Remote,India · 15 hours ago · 21 applicants,India,Business Consulting and Services 11-50 employees 9 on LinkedIn
Data Analytics Intern,Unified Mentor,51-200 employees,"42,052 followers",Internship,India · 3 hours ago · 8 applicants,India,E-Learning Providers 51-200 employees 322 on LinkedIn
Python Data Engineer/ Immediate joiner(Python- Airflow-SQL),,,,"Full-time
Matches your job preferences, job type is Full-time.",India · 2 weeks ago · Over 100 applicants,India,"IT Services and IT Consulting 10,001+ employees 161,960 on LinkedIn"
Business Analyst,ConsultBae Jobs,51-200 employees,"85,410 followers",Remote,India · 23 hours ago · Over 100 applicants,India,IT Services and IT Consulting 51-200 employees 71 on LinkedIn
Data Scientist,,,,"Full-time
Matches your job preferences, job type is Full-time.",India · 1 week ago · Over 100 applicants,India,Information Technology & Services 201-500 employees 230 on LinkedIn
Research Analyst,NA,NA,NA,NA,NA,NA,NA
Data Scientist,NA,NA,NA,NA,NA,NA,NA
Junior Financial Analyst (Fresher),,,"85,411 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 2 days ago · Over 100 applicants,India,IT Services and IT Consulting 51-200 employees 71 on LinkedIn
Data Analyst,Aryng,11-50 employees,"38,522 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 1 month ago · Over 100 applicants,India,Business Consulting and Services 11-50 employees 29 on LinkedIn
SQL Developer,Sureminds Solutions Private Limited,"501-1,000 employees","47,893 followers",Remote,India · 6 months ago · Over 100 applicants,India,"Staffing and Recruiting 501-1,000 employees 381 on LinkedIn"
Junior Data Scientist,Hypersonix Inc.,51-200 employees,"109,543 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 2 months ago · Over 100 applicants,India,Software Development 51-200 employees 83 on LinkedIn
Data entry,Naukripay group,"501-1,000 employees","14,797 followers","Full-time
Matches your job preferences, job type is Full-time.","Bhopal, Madhya Pradesh, India · 3 weeks ago · Over 100 applicants","Bhopal, Madhya Pradesh, India","Human Resources Services 501-1,000 employees 2 on LinkedIn"
AI Developer (Python),toolz4biz,11-50 employees,816 followers,"Full-time
Matches your job preferences, job type is Full-time.",India · 2 days ago · Over 100 applicants,India,"Technology, Information and Internet 11-50 employees 1 on LinkedIn"
Python Developer-Contract,NA,NA,NA,Contract,India · 4 months ago · Over 100 applicants,India,NA
Python Developer,Pi Square Technologies,201-500 employees,"23,629 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 1 week ago · Over 100 applicants,India,Automotive 201-500 employees 193 on LinkedIn
Data Analyst,Aryng,11-50 employees,"38,522 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 1 month ago · Over 100 applicants,India,Business Consulting and Services 11-50 employees 29 on LinkedIn
SQL Developer,Sureminds Solutions Private Limited,"501-1,000 employees","47,893 followers",Remote,India · 6 months ago · Over 100 applicants,India,"Staffing and Recruiting 501-1,000 employees 381 on LinkedIn"
Junior Data Scientist,Hypersonix Inc.,51-200 employees,"109,543 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 2 months ago · Over 100 applicants,India,Software Development 51-200 employees 83 on LinkedIn
Data entry,Naukripay group,"501-1,000 employees","14,797 followers","Full-time
Matches your job preferences, job type is Full-time.","Bhopal, Madhya Pradesh, India · 3 weeks ago · Over 100 applicants","Bhopal, Madhya Pradesh, India","Human Resources Services 501-1,000 employees 2 on LinkedIn"
AI Developer (Python),toolz4biz,11-50 employees,816 followers,"Full-time
Matches your job preferences, job type is Full-time.",India · 2 days ago · Over 100 applicants,India,"Technology, Information and Internet 11-50 employees 1 on LinkedIn"
Python Developer-Contract,NA,NA,NA,Contract,India · 4 months ago · Over 100 applicants,India,NA
Python Developer,Pi Square Technologies,201-500 employees,"23,629 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 1 week ago · Over 100 applicants,India,Automotive 201-500 employees 193 on LinkedIn
"ML Engineer, Part time, remote",Telamon HR Solutions,11-50 employees,"35,387 followers",Remote,India · 1 month ago · Over 100 applicants,India,Staffing and Recruiting 11-50 employees 25 on LinkedIn
Leraning Experience Leader,TaskUs,"10,001+ employees","280,016 followers",Entry level,"Bhopal, Madhya Pradesh, India · Reposted 3 weeks ago · 56 applicants","Bhopal, Madhya Pradesh, India","Outsourcing and Offshoring Consulting 10,001+ employees 28,337 on LinkedIn"
Data Analyst Intern,,51-200 employees,"85,419 followers",Remote,India · 1 day ago · Over 100 applicants,India,IT Services and IT Consulting 51-200 employees 71 on LinkedIn
SQL Developer,Merkle Singapore,11-50 employees,"39,099 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 5 days ago · Over 100 applicants,India,Advertising Services 11-50 employees 117 on LinkedIn
Analyst,NA,NA,NA,"Full-time
Matches your job preferences, job type is Full-time.",India · 1 month ago · Over 100 applicants,India,NA
Data Scientist,Talentica Software,"501-1,000 employees","66,996 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 3 weeks ago · Over 100 applicants,India,"Software Development 501-1,000 employees 614 on LinkedIn"
Python Developer,YO HR Consultancy,11-50 employees,"137,060 followers",Remote,India · 4 weeks ago · Over 100 applicants,India,Business Consulting and Services 11-50 employees 20 on LinkedIn
IT Trainee (Fresher),ConsultBae Jobs,51-200 employees,"85,421 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 6 days ago · Over 100 applicants,India,IT Services and IT Consulting 51-200 employees 71 on LinkedIn
Python Developer,Telamon HR Solutions,11-50 employees,"35,387 followers",Remote,India · 5 months ago · Over 100 applicants,India,Staffing and Recruiting 11-50 employees 25 on LinkedIn
Junior Developer,NA,NA,NA,"Full-time
Matches your job preferences, job type is Full-time.",India · 1 month ago · Over 100 applicants,India,NA
Software Engineer - Data,Uplimit,11-50 employees,"7,840 followers","Full-time
Matches your job preferences, job type is Full-time.",South Asia · Reposted 2 weeks ago · 84 applicants,South Asia,Software Development 11-50 employees 65 on LinkedIn
Data Analyst,Hypersonix Inc.,51-200 employees,"109,543 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 3 days ago · Over 100 applicants,India,Software Development 51-200 employees 83 on LinkedIn
Business Analyst,Soul AI,11-50 employees,"8,091 followers",Part-time,India · 5 days ago · Over 100 applicants,India,Software Development 11-50 employees 177 on LinkedIn
IT Business Analyst,Zigsaw,11-50 employees,"286,616 followers",Remote,India · 9 months ago · Over 100 applicants,India,Community Services 11-50 employees 267 on LinkedIn
Trainee,NA,NA,NA,"Full-time
Matches your job preferences, job type is Full-time.",India · 1 month ago · Over 100 applicants,India,NA
Research Analyst (Fresher),ConsultBae Jobs,51-200 employees,"85,425 followers",Remote,India · 1 day ago · Over 100 applicants,India,IT Services and IT Consulting 51-200 employees 71 on LinkedIn
Analyst,NA,NA,NA,"Full-time
Matches your job preferences, job type is Full-time.",India · 1 month ago · Over 100 applicants,India,NA
