designation,comapany,employeecount,followers,level,totalapplicants,location,industry
Machine Learning Lead,,,,"Full-time
Matches your job preferences, job type is Full-time.","Delhi, India · 5 days ago · Over 100 applicants","Delhi, India",Software Development 51-200 employees 72 on LinkedIn
Manager - Data Science,Axtria - Ingenious Insights,"1,001-5,000 employees","241,113 followers","Full-time
Matches your job preferences, job type is Full-time.","Delhi, India · 3 weeks ago · 13 applicants","Delhi, India","Software Development 1,001-5,000 employees 3,709 on LinkedIn"
Innefu Labs - Python Developer - Flask/Django,Innefu Labs Pvt. Ltd.,51-200 employees,"8,683 followers",Entry level,"Delhi, Delhi, India · 3 months ago · 74 applicants","Delhi, Delhi, India",IT Services and IT Consulting 51-200 employees 218 on LinkedIn
DevOps Manager,Thriwe,201-500 employees,"18,839 followers","Full-time
Matches your job preferences, job type is Full-time.","Delhi, India · 3 weeks ago · Over 100 applicants","Delhi, India",Strategic Management Services 201-500 employees 264 on LinkedIn
Data Analyst,Aryng,11-50 employees,"38,521 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 1 month ago · Over 100 applicants,India,Business Consulting and Services 11-50 employees 29 on LinkedIn
SQL Developer,Sureminds Solutions Private Limited,"501-1,000 employees","47,893 followers",Remote,India · 6 months ago · Over 100 applicants,India,"Staffing and Recruiting 501-1,000 employees 381 on LinkedIn"
Program Manager - Monitoring & Evaluation,Fiinovation,51-200 employees,"7,521 followers","Full-time
Matches your job preferences, job type is Full-time.","South Delhi, Delhi, India · 1 month ago · Over 100 applicants","South Delhi, Delhi, India",Financial Services 51-200 employees 44 on LinkedIn
Planning/Program Controls Manager,Mace,"5,001-10,000 employees","521,160 followers","Full-time
Matches your job preferences, job type is Full-time.","Delhi, India · Reposted 3 weeks ago · 57 applicants","Delhi, India","Construction 5,001-10,000 employees 8,467 on LinkedIn"
Senior Alfresco Platform Engineer,Neem,201-500 employees,"22,218 followers","Full-time
Matches your job preferences, job type is Full-time.","Delhi, India · 1 week ago · 29 applicants","Delhi, India","Technology, Information and Internet 201-500 employees 140 on LinkedIn"
Python Developer,SAPster IT Consulting,11-50 employees,781 followers,"On-site
Matches your job preferences, workplace type is On-site.","Delhi, India · 1 year ago","Delhi, India",IT Services and IT Consulting 11-50 employees 83 on LinkedIn
Python Developer,SequelString AI Private Limited,11-50 employees,"1,592 followers","Hybrid
Matches your job preferences, workplace type is Hybrid.","Delhi, India · 3 months ago · Over 100 applicants","Delhi, India",IT Services and IT Consulting 11-50 employees 66 on LinkedIn
Python Developer,Doctor Insta,51-200 employees,"3,589 followers","On-site
Matches your job preferences, workplace type is On-site.","Delhi, India · 1 year ago","Delhi, India",Wellness and Fitness Services 51-200 employees 7 on LinkedIn
Software Engineering Manager,CredHive,2-10 employees,"15,347 followers","Full-time
Matches your job preferences, job type is Full-time.","Delhi, India · 2 days ago · 29 applicants","Delhi, India",Financial Services 2-10 employees 3 on LinkedIn
AI Developer (Python),toolz4biz,11-50 employees,814 followers,"Full-time
Matches your job preferences, job type is Full-time.",India · 2 days ago · Over 100 applicants,India,"Technology, Information and Internet 11-50 employees 1 on LinkedIn"
Python developer,Indisquad,11-50 employees,"22,264 followers",Remote,India · 16 hours ago · Over 100 applicants,India,Staffing and Recruiting 11-50 employees 6 on LinkedIn
